clinician_id,insurer,status,effective_date,expiration_date
7,Aetna,Active,2022-05-23,2024-09-15
7,Cigna,Active,2022-07-25,2025-08-08
8,Medicaid,Active,2022-05-11,2024-08-12
8,Medicare,Active,2022-02-07,2023-11-08
8,BCBS,Active,2022-12-06,2025-02-13
8,Sanford,Active,2022-02-22,2024-02-18
8,Aetna,Active,2022-04-14,2024-02-04
8,Cigna,Active,2022-03-02,2024-04-30
9,Medicaid,Active,2022-01-10,2023-11-15
9,Medicare,Active,2022-01-19,2023-12-15
9,BCBS,Active,2022-07-19,2024-08-24
9,Sanford,Active,2022-02-19,2024-07-26
9,Aetna,Active,2022-03-07,2023-11-11
9,Cigna,Active,2022-01-22,2024-05-16
10,Medicaid,Active,2022-10-19,2025-02-03
10,Medicare,Active,2022-02-08,2024-03-18
10,BCBS,Active,2022-11-13,2025-03-27
10,Sanford,Active,2022-07-20,2023-12-23
10,Aetna,Termed,2022-01-21,2024-03-26
10,Cigna,Active,2022-11-27,2024-07-16
11,Medicaid,Active,2022-07-10,2023-12-25
11,Medicare,Active,2022-08-05,2024-10-07
11,BCBS,Active,2022-02-26,2024-12-02
11,Sanford,Active,2022-01-19,2024-04-08
11,Aetna,Active,2022-11-02,2024-08-10
11,Cigna,Active,2022-10-01,2024-06-26
12,Medicaid,Active,2022-07-24,2024-10-30
12,Medicare,Applied,2022-09-04,2024-03-18
12,BCBS,Active,2022-01-04,2023-12-31
12,Sanford,Active,2022-10-13,2024-04-28
12,Aetna,Active,2022-04-27,2024-10-16
12,Cigna,Active,2022-10-04,2025-03-21
13,Medicaid,Active,2022-05-20,2024-11-11
13,Medicare,Active,2022-10-27,2025-04-02
13,BCBS,Active,2022-01-26,2023-10-19
13,Sanford,Active,2022-05-25,2024-05-28
13,Aetna,Applied,2022-08-27,2025-07-04
13,Cigna,Termed,2022-11-19,2025-02-26
14,Medicaid,Active,2022-08-02,2024-09-02
14,Medicare,Active,2022-01-11,2024-04-25
14,BCBS,Active,2022-04-24,2024-03-25
14,Sanford,Active,2022-01-11,2023-11-06
14,Aetna,Active,2022-07-01,2024-12-06
14,Cigna,Applied,2022-07-04,2024-09-08
15,Medicaid,Applied,2022-01-05,2023-09-15
15,Medicare,Active,2022-06-23,2025-03-04
15,BCBS,Active,2022-02-13,2023-12-25
15,Sanford,Applied,2022-09-19,2024-02-12
15,Aetna,Active,2022-01-26,2024-01-05
15,Cigna,Active,2022-09-26,2024-10-12
16,Medicaid,Active,2022-07-05,2024-06-10
16,Medicare,Applied,2022-06-08,2024-10-13
16,BCBS,Active,2022-07-16,2024-09-03
16,Sanford,Active,2022-09-09,2024-09-04
16,Aetna,Active,2022-03-25,2024-04-10
16,Cigna,Active,2022-02-13,2023-11-17
17,Medicaid,Active,2022-02-11,2024-06-19
17,Medicare,Active,2022-04-22,2023-06-05
17,BCBS,Active,2022-05-04,2024-06-06
17,Sanford,Expired,2022-03-19,2024-01-27
17,Aetna,Active,2022-03-22,2024-04-09
17,Cigna,Active,2022-07-07,2024-04-29
18,Medicaid,Expired,2022-09-09,2024-07-21
18,Medicare,Active,2022-06-24,2024-06-05
18,BCBS,Active,2022-02-09,2024-10-23
18,Sanford,Expired,2022-11-16,2024-01-22
18,Aetna,Active,2022-07-09,2024-04-28
18,Cigna,Active,2022-01-13,2024-03-02
19,Medicaid,Active,2022-03-13,2024-02-12
19,Medicare,Active,2022-01-15,2024-02-24
19,BCBS,Expired,2022-11-15,2025-06-06
19,Sanford,Applied,2022-12-23,2024-08-06
19,Aetna,Termed,2022-03-08,2024-04-02
19,Cigna,Active,2022-12-24,2024-12-13
20,Medicaid,Active,2022-08-01,2024-09-29
20,Medicare,Active,2022-10-01,2024-12-28
20,BCBS,Active,2022-09-12,2024-04-16
20,Sanford,Active,2022-05-19,2024-09-13
20,Aetna,Active,2022-12-05,2024-12-21
20,Cigna,Active,2022-03-22,2023-08-01
21,Medicaid,Active,2022-03-05,2023-11-20
21,Medicare,Expired,2022-11-05,2025-03-24
21,BCBS,Active,2022-01-11,2024-03-23
21,Sanford,Active,2022-07-01,2024-04-30
21,Aetna,Active,2022-04-05,2024-03-03
21,Cigna,Active,2022-06-10,2024-10-10
22,Medicaid,Expired,2022-12-18,2025-07-06
22,Medicare,Active,2022-04-25,2024-03-14
22,BCBS,Active,2022-07-27,2024-02-19
22,Sanford,Active,2022-12-18,2024-07-05
22,Aetna,Termed,2022-05-03,2024-01-04
22,Cigna,Active,2022-03-13,2024-01-29
23,Medicaid,Termed,2022-03-05,2024-05-19
23,Medicare,Termed,2022-09-22,2024-10-13
23,BCBS,Active,2022-12-15,2025-03-22
23,Sanford,Active,2022-04-17,2024-03-08
23,Aetna,Active,2022-06-16,2024-02-05
23,Cigna,Active,2022-05-09,2024-11-23
24,Medicaid,Active,2022-02-21,2023-11-02
24,Medicare,Applied,2022-01-17,2023-08-28
24,BCBS,Applied,2022-07-05,2023-11-24
24,Sanford,Active,2022-06-07,2023-11-09
24,Aetna,Active,2022-11-06,2024-10-19
24,Cigna,Active,2022-02-06,2024-07-14
25,Medicaid,Termed,2022-12-08,2025-02-28
25,Medicare,Expired,2022-03-09,2024-06-11
25,BCBS,Applied,2022-07-21,2024-04-04
25,Sanford,Active,2022-05-21,2024-07-30
25,Aetna,Expired,2022-04-22,2024-01-26
25,Cigna,Termed,2022-11-25,2024-08-30
